Image type	Feature Class	Feature Name	nodes_140_cc_labels.nii.gz_1_segment_Segment_120	nodes_140_cc_labels.nii.gz_1_segment_Segment_121	nodes_140_cc_labels.nii.gz_1_segment_Segment_122	nodes_140_cc_labels.nii.gz_1_segment_Segment_123	nodes_140_cc_labels.nii.gz_1_segment_Segment_124	nodes_140_cc_labels.nii.gz_1_segment_Segment_125	nodes_140_cc_labels.nii.gz_1_segment_Segment_126	nodes_140_cc_labels.nii.gz_1_segment_Segment_127	nodes_140_cc_labels.nii.gz_1_segment_Segment_128
diagnostics	Versions	PyRadiomics	3.1.0a2.post10+g146e3bd	3.1.0a2.post10+g146e3bd	3.1.0a2.post10+g146e3bd	3.1.0a2.post10+g146e3bd	3.1.0a2.post10+g146e3bd	3.1.0a2.post10+g146e3bd	3.1.0a2.post10+g146e3bd	3.1.0a2.post10+g146e3bd	3.1.0a2.post10+g146e3bd
diagnostics	Versions	Numpy	2.3.5	2.3.5	2.3.5	2.3.5	2.3.5	2.3.5	2.3.5	2.3.5	2.3.5
diagnostics	Versions	SimpleITK	2.5.2rc2.dev6	2.5.2rc2.dev6	2.5.2rc2.dev6	2.5.2rc2.dev6	2.5.2rc2.dev6	2.5.2rc2.dev6	2.5.2rc2.dev6	2.5.2rc2.dev6	2.5.2rc2.dev6
diagnostics	Versions	PyWavelet	1.8.0	1.8.0	1.8.0	1.8.0	1.8.0	1.8.0	1.8.0	1.8.0	1.8.0
diagnostics	Versions	Python	3.12.10	3.12.10	3.12.10	3.12.10	3.12.10	3.12.10	3.12.10	3.12.10	3.12.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': False, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': False, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': False, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': False, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': False, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': False, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': False, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': False, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': False, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}}	{'Original': {}}	{'Original': {}}	{'Original': {}}	{'Original': {}}	{'Original': {}}	{'Original': {}}	{'Original': {}}	{'Original': {}}
diagnostics	Image-original	Hash	370d127e9207c066d21d62a60a03f67910542e2b	370d127e9207c066d21d62a60a03f67910542e2b	370d127e9207c066d21d62a60a03f67910542e2b	370d127e9207c066d21d62a60a03f67910542e2b	370d127e9207c066d21d62a60a03f67910542e2b	370d127e9207c066d21d62a60a03f67910542e2b	370d127e9207c066d21d62a60a03f67910542e2b	370d127e9207c066d21d62a60a03f67910542e2b	370d127e9207c066d21d62a60a03f67910542e2b
diagnostics	Image-original	Dimensionality	3D	3D	3D	3D	3D	3D	3D	3D	3D
diagnostics	Image-original	Spacing	(0.91796875, 0.91796875, 2.0)	(0.91796875, 0.91796875, 2.0)	(0.91796875, 0.91796875, 2.0)	(0.91796875, 0.91796875, 2.0)	(0.91796875, 0.91796875, 2.0)	(0.91796875, 0.91796875, 2.0)	(0.91796875, 0.91796875, 2.0)	(0.91796875, 0.91796875, 2.0)	(0.91796875, 0.91796875, 2.0)
